epoch,train_loss,bbox_mAP_0.5_0.95,bbox_mAP_0.5,bbox_mAP_0.95,mask_mAP_0.5_0.95,mask_mAP_0.5,mask_mAP_0.95
1,0.7022529487098966,0.4447308900083375,0.7222847599301675,0.0056691741392267455,0.4706599556152954,0.7126659716231476,0.002157908098502158
2,0.4414058103093079,0.5013046633946232,0.7610301764921026,0.00900733737619121,0.4836795738323301,0.7170063945178033,0.005049743145926462
3,0.4105157562664577,0.5610481162980436,0.7996702889834206,0.0022199127647016385,0.5332049951194505,0.7832118567901859,0.00011187559433909493
4,0.3562139006597655,0.5974383965262743,0.8029374814349065,0.022504390302252725,0.5551321785635658,0.7749792180238866,0.002875483780717162
5,0.3416379420885018,0.5918469889321539,0.8065998884540655,0.015845642913499786,0.5542089278788285,0.7840950393851595,0.0019254396239264536
6,0.3352758763091905,0.5916039195030808,0.8174650389381327,0.01961358958568699,0.5524322181900685,0.7830324509637945,0.0041843470061291846
7,0.3334061830171517,0.6046829100187328,0.8195396001136197,0.030495185370564226,0.5601258806041312,0.7885518281896423,0.004991249730299907
8,0.3305825300514698,0.5984206519514735,0.8181383666651415,0.03433196283084768,0.5562699172945456,0.7864153921705164,0.0029634542401608586
9,0.3321894760642733,0.6013617807919679,0.8186126957184059,0.03370560462721673,0.5614593151956031,0.7869896434115453,0.003358230559898095
10,0.33315604190741266,0.5993041279057272,0.8186265036805201,0.03373812062600453,0.5612135443237456,0.7871185712018975,0.003358230559898095
11,0.33313882116760524,0.599285372836213,0.8185523337755318,0.03354915327397791,0.5605871060315282,0.7871094349076945,0.003358230559898095
12,0.33224552795290946,0.599417574719943,0.818628436372289,0.03376833019801942,0.5607078615389294,0.7871436465981183,0.003358230559898095
13,0.3342556196664061,0.5994358845867457,0.818658076163032,0.03376833019801942,0.5607214031879205,0.7871722463962038,0.003358230559898095
14,0.33127151759607454,0.5994198282333426,0.8185992868388473,0.03376833019801942,0.5607280291273364,0.787164690093089,0.003358230559898095
15,0.33209495885031565,0.5994290096742327,0.8186141505800631,0.03376833019801942,0.5607348183865801,0.7871790322995253,0.003358230559898095
